identifier,smiles,bus
DEPSEW,C1CN2CCC1CC2,[1]
DEPTOH,C1CN2CCC1CC2,[1]
DETLIA,c1cc(CCCc2ccncc2)ccn1,[1]
DETLOG,c1cc(CCCc2ccncc2)ccn1,[1]
DETLUM,c1cc(CCCc2ccncc2)ccn1,[1]
DETMAT,c1cc(CCCc2ccncc2)ccn1,[1]
DEWVAD,c1cc(CCc2ccncc2)ccn1,[]
DEXSEF,c1ccc(-c2ccccn2)nc1,[]
DIBMOS,NCCNCCN,"[14, 12]"
DIDLOU,CN(C)C,[]
DIFVAP,c1c[nH]cn1,[]
DIFYAS,Cc1cnc[nH]1,[]
DIKZIH,CC(N)CN,[0]
DIMVIG,NCCCN,[3]
DIMWED,NCCN,[1]
DINCIP,NCCCNCCNCCCN,[3]
DINRUQ,c1c[nH]c(-c2ncc[nH]2)n1,[1]
DIPGAM,C1CCNCC1,[]
DIPVIK,CNC,[2]
DIRBIP,CC(C)N,[1]
DISSOO,NCCNCCN,[1]
DISSUU,NCCNCCN,[1]
DISTAB,NCCNCCNCCNCCN,[1]
DIVMEB,C1CNCCN1,"[13, 4]"
DIVMIF,C1CNCCN1,"[13, 4]"
DIVMOL,C1CNCCN1,"[13, 4]"
DIVMUR,C1CNCCN1,"[13, 4]"
DIVNAY,C1CNCCN1,"[13, 4]"
DIVNIH,CNCCNC,"[2, 4]"
DIXHIC,NCCNCCN,[1]
DIZBAR,CNC,[]
DIZFOH,CN,[]
DIZJED,CNC,[]
DIZJUT,c1cc(-c2ccncc2)ccn1,"[6, 11]"
DIZYER,CN,[10]
DOBKOV,C1N2CN3CN1CN(C2)C3,[]
DODQOD,C1CNCCN1,[6]
DODQUJ,NCCN,[6]
DODRUJ,NCCN,[1]
DOHDOU,CNC,[7]
DOJQUQ,CNC,[3]
DOLFIV,CC(C)NC(C)C,[4]
DOMJIZ,c1ccc(-c2ccccn2)nc1,[4]
DOMJOF,c1cnc2c(c1)ccc1cccnc12,[4]
DONXOW,c1cc(-c2ccncc2)ccn1,"[2, 4]"
DOPZUF,NCCN,[2]
DOWQIP,NCCNCCN,[1]
DOWYAP,CC1CNCCN1,[1]
DOWZUK,CN1CCN(C)CC1,[1]
DUBBEI,NCCCN1CCN(CCCN)CC1,"[4, 1]"
DUCDOV,C1CCNCC1,[]
DUFBAJ,c1ccc2[nH]nnc2c1,[5]
DUFBEN,c1ccc2[nH]nnc2c1,[5]
DUHGET,c1cc(-c2ccncc2)ccn1,[4]
DUJGEX,c1cc(-c2ccncc2)ccn1,[1]
DUKMOL,Cc1ccccn1,[]
DUMBET,c1ccc2ncccc2c1,[1]
DUMFAT,N=C(N)N,[]
DUQCOK,c1cc(CCCc2ccncc2)ccn1,[1]
DUQYEU,CNC,[4]
DURPEM,c1ccncc1,[2]
DUSWAP10,NCCN,[5]
DUWQUJ,NCCN,"[4, 1]"
DUWRAQ,NCCCCN,"[4, 1]"
DUWREU,NCCCCN,"[4, 1]"
DUWROE,CN(C)CCCNCCCN(C)C,"[4, 1]"
DUWRUK,C1CNCCN1,"[4, 1]"
DUWSAR,NCCCNCCCN,"[4, 1]"
DUWTAS,NCCCN,"[4, 1]"
DUXHAH,Nc1ccc(N=Nc2ccccc2)cc1,[1]
DUXNIU,CC(N)CN,[11]
DUZKIT,C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1,[10]
EBEWUG,CCCCCCN,[0]
EBEXAN,CCCCCN,[0]
EBEXER,CC(C)CN,"[0, 1]"
EBEXIV,NC1CCCCCCC1,[0]
EBEXOB,NC1CCCCC1,[0]
EBEXOY,Cc1nccn1C,[1]
EBITAL,NCCCN,[0]
ECAMIG,CC1(C)CC(N)CC(C)(CN)C1,[0]
ECAVEK,NCCN,[]
ECAVIO,NCCCN,[]
ECEGAU,NCCN,[1]
ECIYEU,CNC,[1]
ECIZAS,c1cc(-c2ccncc2)ccn1,[1]
ECIZEW,c1cc(-c2ccncc2)ccn1,[1]
ECIZIA,c1cc(-c2ccncc2)ccn1,[1]
ECODOQ,NCCNCCN,[0]
ECOFAE,NCCN,[0]
ECOLOX,CCNCC,[1]
ECONIU,CN(C)CCN,[1]
ECULOF,CN(C)c1ccncc1,[4]
ECULUL,CN(C)c1ccncc1,[4]
ECUZOS,c1cc(-c2ccncc2)ccn1,[]
EDEPOS,NCCCN,[1]
EDIKEH,CC(N)CN,[4]
EDIKIL,CC1=NCCCN1,[4]
EDOVOJ,CC(N)c1ccccc1,[1]
EDOYOL,NCCCN,[1]
EDOYUR,c1c[nH]cn1,"[12, 1]"
EDUKIZ,NCCCCN,[]
EDUQIE,NCCN,[]
EFAHAX,CN(C)CCN(C)C,[]
EFILUA,CN1CCNCC1,[1]
EFIMOV,NCCN(CCN)CCN,[1]
EFIMUB,C1CNCCN1,[1]
EFIRER,CNC,[5]
EFOMOC,Nc1cccc(N)c1,[1]
EGEQIQ,NCCCCCCCCN,[1]
EGIRUI,c1cc(CCCc2ccncc2)ccn1,[]
EGOHOY,c1cncc(-c2nc3ccccc3[nH]2)c1,[1]
EGUBOY,C1CNCCN1,[]
EHACUL,NCCCN,[]
EHADAS,NCCNCCN,[]
EHADEW,NCCCNCCN,[]
EHAGEA,CNC,[7]
EHAXIU,N=C(N)N,[4]
EHAXOA,N=C(N)N,[4]
EHIBIH,CN,"[14, 12]"
EHIHEI,NCCN,[1]
EHUJOH,c1ccncc1,[1]
EJATIS,C1CNCCN1,[1]
EJEBUR,NCCCCCCN,[1]
EJEWAT,NCCCN,[2]
EJUVIO,CN,[1]
EJUVOU,CN,[1]
EKELAJ,CNC,[11]
EKELEN,CNC,[11]
EKELIR,CNC,[11]
EKELOX,CNC,[11]
EKELUD,CNC,[11]
EKEMAK,CNC,[11]
EKEPUF,NCCCN1CCN(CCCN)CC1,[2]
EKEQAM,NC1CCC(N)CC1,[2]
EKIDAD,NCCCN,[1]
EKIDEH,NCCN(CCN)CCN,[1]
EKIDIL,NCCN(CCN)CCN,[1]
EKIVIE,CN,"[14, 12]"
EKIVOK,CN,"[14, 12]"
EKUPUX,Cc1n[nH]c(C)c1-c1c(C)n[nH]c1C,[1]
EKUQAE,Cc1n[nH]c(C)c1-c1c(C)n[nH]c1C,[1]
ELEJEM,Cc1ncc[nH]1,[4]
ELIYAA,NCCN,[1]
ELOHOC,NCCN1CCNCC1,[2]
ELOHUI,NCCN1CCNCC1,[2]
ELOJAQ,NCCCN1CCN(CCCN)CC1,[]
ELOJEU,NCCCCCCN,[]
ELOJIY,NCCCN,[]
ELOJOE,NCCN,[]
EMAJIL,NCCCN,[4]
EMAKIM,C1CNCCN1,[13]
EMAKOS,CN1CCN(C)CC1,[13]
EMAQUE,c1c[nH]cn1,[5]
EMIXOO,Nn1c(-c2ccncc2)nnc1-c1ccncc1,[]
EMODEP,CN(C)CCCN,[4]
EMODIT,CN(C)CCCN,[1]
EMODOZ,CN(C)CCCN,[1]
EMOKUN,NCCN,[5]
EMORAZ,C1CN2CCN1CC2,[]
EMORED,NCCN,[]
EMOSII,CN(C)CCN(C)C,[1]
EMOSOO,NCCCCN,[1]
EMUDIB,c1c[nH]cn1,[]
ENEBUV,Nc1ccccn1,[]
ENECIK,Nc1cccnc1N,[]
ENIFIR,NCCN,[2]
ENIFOX,NCCN,[2]
ENIFUD,CNCCNC,[2]
ENIGAK,CN(C)CCN(C)C,[2]
ENIYEG,C1=Cc2nc1c(-c1cccnc1)c1ccc([nH]1)c(-c1cccnc1)c1nc(c(-c3cccnc3)c3ccc([nH]3)c2-c2cccnc2)C=C1,[10]
ENOGAQ,NCCNCCNCCN,[2]
ENOGEU,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,[2]
ENUHOL,C1CNCCN1,[]
EPERAU,NCCCCN,[1]
EPEREY,C1CNCCN1,"[1, 1]"
EPERUN,c1ccncc1,[6]
EPESEY,CCCCC(CC)CNCC(CC)CCCC,[6]
EPESIC,c1ccncc1,[6]
EPESOI,NCCCN,[6]
EPEYEF,NC1CCC(N)CC1,[1]
EQICOX,CN(C)C(=N)N(C)C,[]
EQOZIU,CNC,[26]
EQUCOI,NCCN,[1]
ERETUS,NCCNCCN,[5]
ESIVOS,CN1CCCC1,[1]
ESIVUY,c1ccncc1,[1]
ETAKUG,CCN(CC)CC,[4]
ETECAJ,CC(N)CN,[4]
ETECEN,CN1CCN(C)CC1,[4]
ETECIR,CCN1CCNCC1,[4]
ETECOX,CCN1CCNCC1,"[2, 4]"
ETECUD,CN1CCN(C)CC1,[4]
ETEDAK,CC(C)NC(C)C,[4]
ETEXEI,Nc1ccncc1,[0]
ETODIA,C1CN2CCN1CC2,[]
ETUWEW,CNC,[4]
ETUWIA,CNC,[4]
ETUXEW,CN1CCN(C)CC1,[0]
ETUYAT,NCCCN,[3]
EVOTEQ,CNC,[2]
EWAVIH,NCCCNCCNCCCN,[1]
EWAVON,NCCCNCCNCCCN,[1]
EWAYUW,NCCN,[0]
EWECIS,C1CN2CCN1CC2,[2]
EWERUT,NCCN,[3]
EWILAY,CNCCN,[]
EWILEC,CNCCNC,[]
EWILIG,CN(C)CCN(C)C,[]
EWILUS,C(=Cc1ccncc1)c1ccncc1,[4]
EWULAK,c1cc(CCCc2ccncc2)ccn1,[1]
EWULOY,c1cc(CCCc2ccncc2)ccn1,[6]
EWUYIG,c1ccncc1,[4]
EXABUC,c1ccncc1,[4]
EXAQUR,c1ccnnc1,[1]
EXEJUM,NCCN,[13]
EXELUO,Nc1ccc(N)cc1,[0]
EXEPEC,NCCN,"[14, 12]"
EXISEL,C1CNCCN1,[]
EXOTUG,Nc1ccc(-c2ccc(N)cc2)cc1,[]
EXOYAR,Cc1ncc[nH]1,[1]
EXUBOQ,NCCN,"[14, 12]"
EXUYIG,C1CNCCN1,"[12, 1]"
EYAFEP,NCCN1CCNCC1,[1]
EYAFOB,CNC,"[4, 10]"
EYAFUH,CCNCC,[4]
EYAGES,CCN(CC)CC,[4]
EYAGIW,CN(C)C,[4]
EYAGOC,CCN(C)CC,[4]
EYAHOD,CN(C)C,[4]
EYAHUJ,CCN(C)CC,[4]
EYAJUL,CCN(CC)CC,[4]
EYAKOG,CCCN(CCC)CCC,[4]
EYAKUM,CCN,[4]
EYALEX,CCN,[4]
EYALOH,CCCNCCC,[4]
EYAYEK,CC(C)NC(C)C,[4]
EYOSAM,CC(N)CN,[]
EYOYUO,NCCCCN,[4]
EYUXIF,NCCN,[1]
EZAWIL,CCN,[4]
EZENIG,NCCN1CCNCC1,"[0, 1]"
EZOXIB,C1CNCCN1,[1]
FACMOM,NCCCN,[1]
FAFHAX,NCCCN,[5]
FAFHEB,NCCN(CCN)CCN,[]
FAGNEH,Cc1nc(-c2nc(C)c(C)[nH]2)[nH]c1C,[]
FAHBIC,CNC,[7]
FAHFUS,c1ccc2[nH]cnc2c1,[1]
FAHYIX,NCCCCN,[2]
FAHYOD,NCCCCN,[2]
FALGUW,NCCN,[2]
FALPOY,CN1CCN(C)CC1,[1]
FALYUN,CC(N)CN,[1]
FALZAU,CCCC(N)CN,[1]
FALZEY,NCCN(CCN)CCN,[1]
FALZIC,NCCN(CCN)CCN,[1]
FALZOI,NCCN(CCN)CCN,[1]
FANMUE,NCCCN,[5]
FANQOC,NC1CCCC1,"[14, 12]"
FAPGEI,N=C(N)N,[4]
FAQCEG,N=C(N)N,[]
FAQCIK,N=C(N)N,[]
FAQGIO,NCCN,[1]
FAQLEQ,CCN(CC)CC,[1]
FARVIE,CN1CCN(C)CC1,[1]
FARXII,CCCNCCC,[22]
FASHEN,C1CN2CCN1CC2,[6]
FASHIR,CCN(CC)CC,[6]
FASHOX,C1CNCCN1,[1]
FASMIW,NCCN,[1]
FATZAC,NCCCN,[1]
FAVWUW,c1c[nH]cn1,[1]
FAVYEH,C1CNCCN1,[11]
FAWLOF,NC1CCCCC1,[]
FAXMIB,c1ccc2[nH]c(-c3ccncc3)nc2c1,[]
FAXSOP,C1CNCCN1,"[2, 4]"
FAXSUV,CN(C)CCCNCCCN(C)C,"[2, 4]"
FAXTAC,NCCCNCCCN,"[2, 4]"
FEGHAD,CC(N)CN,[]
FEJDEE,NCCCCN,[0]
FEJDII,c1c[nH]cn1,[0]
FELFEK,C1CNCCN1,"[26, 4]"
FELJEO,C1CNCCN1,"[26, 4]"
FELJUD,NCCNCCN,[6]
FELKAK,NCCN,[6]
FEPBEI,NC1CCC(N)CC1,[12]
FEPBIM,NCCCN1CCN(CCCN)CC1,[12]
FEPQEW,NCCCN,[1]
FEQBIM,NCCCN,[]
FEQBOS,N=C(N)N,[]
FEQBUY,C1CNCCN1,[]
FEQCAF,CC1CNCCN1,[]
FERWOR,NCCCN1CCN(CCCN)CC1,"[2, 4]"
FESCIS,CN(C)CCN,"[2, 4]"
FESTUT,CN1CCNCC1,[0]
FESVAB,NCCN,[0]
FESXIL,NCCCCCCN,[1]
FEVBAM,CNC,[9]
FEVYIP,NCCNCCN,[1]
FEVYOV,C1CNCCN1,[1]
FEVYUB,C1CNCCN1,[1]
FEWQOQ,C1CNCCN1,[5]
FEWROP,c1cc(-c2ccncc2)ccn1,[]
FEXGAT,NCCN,[1]
FEXGEX,NCCN,[1]
FEXGIB,NCCN,[1]
FEXHUM,NCCNCCN,[1]
FEZXIS,Nc1cccc(N)n1,[8]
FEZXOY,Nc1ccccn1,[8]
FIBNAF,c1ccc(-c2ccccn2)nc1,[10]
FICTAN,NCCCCN,[1]
FICXUL,NCCNCCN,[2]
FICYAS,NCCCCCCN,[2]
FIGFOR,NCCN(CCN)CCN,"[12, 1]"
FIGQIV,CN,[]
FIGVOH,CNCCNC,[1]
FIGVUN,CNCCNC,[1]
FIHGAH,CC1CNCC(C)N1,"[0, 4]"
FIHGEL,CC1CNCC(C)N1,"[0, 4]"
FIJGEK,CC(C)N,[1]
FIJRIA,c1cc(-c2ccncc2)ccn1,"[4, 1]"
FIJYED,NCCCCN,[1]
FIJYIH,NCCCN,[1]
FIJYON,C1N2CN3CN1CN(C2)C3,[1]
FIJYUT,NCCN,[5]
FIKFAH,NCCCCN,[1]
FIKFEL,NCCN,[5]
FILQIA,C1CNCCN1,[1]
FINSAX,CC(N)CN,[]
FIPMUO,CNC,[2]
FIPNAV,CNC,[2]
FIQGES,CN1CCNCC1,[4]
FIQJUM,CCCCCCCCCCCCN,[]
FIRRIJ,c1c[nH]cn1,[17]
FIRYIQ,Cc1cccnc1,[1]
FISHIY,c1cc(-c2ccncc2)ccn1,[10]
FITWIP,CN,[27]
FIVCIW,c1ccc2ncccc2c1,[10]
FIVJID,CCN(CC)CC,[1]
FIVQIL,C1CN2CCN1CC2,[1]
FIVQOR,NCCCN,"[4, 1]"
FIVVUE,c1c[nH]cn1,[11]
FIWWAJ,CCCC(C)N,[5]
FIYGUQ,NCCN,[0]
FIZLEF,NCCN,[4]
FOBTUO,NCCN1CCNCC1,[1]
FOBYED,CNC,[1]
FOCVUO,NCCN,[]
FODYUT,C1CNCCNC1,[1]
FODZOO,CNCCCN,[1]
FODZUU,CNCCCN,[1]
FOFHAK,CN1CCNCC1,"[4, 1]"
FOFHEO,CN(CCCN)CCCN,"[4, 1]"
FOFHIS,NCCCN1CCN(CCCN)CC1,"[4, 1]"
FOFHOY,NCCCN,"[4, 1]"
FOFHUE,NCCNCCN,"[4, 1]"
FOFPEX,Cc1nc2ccccc2[nH]1,[4]
FOFPOH,c1cn(Cc2ccc(Cn3ccnc3)cc2)cn1,[4]
FOFQAU,c1cn(CCCCn2ccnc2)cn1,[4]
FOFQOI,Nc1nc(N)nc(N)n1,[4]
FOHXUX,NCCN,[1]
FOHYAE,NCCN,[]
FOJJEW,Nc1cc2nc3ccccc3nc2cc1N,[8]
FOJMOI,C(=Cc1ccncc1)c1ccncc1,[]
FOJNEZ,CN(C)CCN(C)C,[]
FOJNID,NCCN,[1]
FOKBOY,CC(N)CN,"[14, 12]"
FOKLOI,C1CC(C2CCNCC2)CCN1,[1]
FOPBOB01,CN,[1]
FOPGOG,CN,[5]
FOPQOT,CNC,[3]
FOPQUZ,CNC,[3]
FOPRAG,CNC,[3]
FOPREK,CNC,[3]
FOPRIO,CNC,[3]
FOPROU,CNC,[3]
FOPSAH,CNC,[3]
FOTCEZ,Cc1cccnc1,[0]
FOTHIF,c1ccncc1,[4]
FOXFUU,NCCNCCN,[2]
FOXVPY,c1ccncc1,[4]
FUBCOX,Nc1ncnc2[nH]cnc12,[]
FUDLOF,NCCN,[]
FUDSOP,c1ccncc1,[4]
FUGLEZ,NCCN,[2]
FUGMIE,Cc1ccccc1N,[1]
FUJCAO,c1c[nH]cn1,[]
FUMHUR,C1CN2CCN1CC2,[]
FUNSUC,NCCN,[1]
FUNTIR,NCCN,[1]
FUNTOX,NCCN,[1]
FUQBEY,NCCNCCNCCN,[1]
FURNIP,c1cnccn1,[]
FURZIC,CNC,"[5, 1]"
FUSFAA,CC(C)NC(C)C,[]
FUSFEE,CC(C)NC(C)C,[]
FUVXAW,c1cc(-c2ccncc2)ccn1,[1]
FUVYAX,NCCN,"[14, 12]"
FUXWAY,CN(C)C=CCN,"[2, 4]"
FUXWEC,CN1CCNCC1,"[2, 4]"
FUXWOM,NCCCCN,"[2, 4]"
FUYRIA,C1CNCCN1,[5]
FUZBOS,NCCN,[]
FUZSUQ,CNC,[]
GACKIG,NCCN,[6]
GACKOM,NCCN,[6]
GACKUS,NCCN,[6]
GACLAZ,CC(N)CN,[6]
GAFNIM,Nc1ccccc1,[1]
GAHKAE,CCN,[4]
GAHLEH,c1c[nH]cn1,[1]
GAMFAD,N=C(N)N,[15]
GAMFEH,N=C(N)N,[15]
GAMFIL,N=C(N)N,[15]
GAMFOR,N=C(N)N,[15]
GAMFUX,N=C(N)N,[15]
GAMGAE,N=C(N)N,[15]
GAMGIM,N=C(N)N,[15]
GAMGOS,N=C(N)N,[15]
GAMGUY,N=C(N)N,[15]
GAMHAF,N=C(N)N,[15]
GAMHEJ,N=C(N)N,[15]
GAMHIN,N=C(N)N,[15]
GANJOV,NCCCCCCCCCCCCN,[13]
GAQWUQ,N=C(N)N,[15]
GARKIT,NCCN,[1]
GARTUR,NCCCCCCCCCCCCN,[0]
GARVAZ,NCCCCCCCCCCCCN,[0]
GASROH,Cc1cccnc1,[]
GATPID,N=C(N)N,[]
GAVKOE,NCc1ccccc1,[2]
GAVNIB,c1cc(-c2ccncc2)ccn1,[4]
GAWHOC,CNC,[4]
GAZFAR,C1CN2CCN1CC2,[17]
GAZFOF,C1CNCCN1,[17]
GEBYER,CN(C)c1ccccc1,[]
GEDKIK,CCCCCCN,[1]
GEGCOM,C1CCCNCC1,[5]
GEJNEP,CN1CCN(C)CC1,[0]
GEKQEV,CN1C2CCC1CC(N)C2,[10]
GENHOY,CC1CNCCN1,[]
GENPIB,CNC,[2]
GENPOH,CNC,[2]
GENPUN,CNC,[2]
GEQBIO,NCCN,[1]
GEQVOO,NCCN,[2]
GEQVUU,NCCNCCNCCN,[2]
GEQWAB,NCCN,[2]
GEQWEF,CN(C)CCN(C)C,[2]
GEQWIJ,C1CNCCN1,[2]
GEQWOP,CN(C)CCN(C)C,[2]
GERJOF,C1CN2CCN1CC2,[9]
GERJUL,N=CN,[9]
GERKEW,c1c[nH]cn1,[9]
GERKIA,N=C(N)N,[9]
GERLAT,c1nnc[nH]1,[9]
GERNIB,NCCN,[1]
GERSON,c1ccc(Nc2ccccn2)nc1,[10]
GERSUT,c1ccc(Nc2ccccn2)nc1,[10]
GETZUC,N=C(N)N,[1]
GEYWUC,CCCCCN,[]
GEZYOB,NC1CCCCCC1,[0]
GEZYUH,NC1CCCCC1,[0]
GEZZAO,NC1CCCC1,"[0, 1]"
GEZZES,CC1CNCCN1,[0]
GIBWOG,C1CNCCN1,[]
GICHAE,C1CNCCNCCNCCN1,[2]
GICHEI,C1CNCCNCCNCCN1,[13]
GICHIM,CN1C2CCC1CC(N)C2,[2]
GICHOS,CN1C2CCC1CC(N)C2,[13]
GICXIB,C1CNC1,[7]
GIGPOB,c1ccc(-c2ccccn2)nc1,[10]
GIHCAC,CN(C)CCCN,[]
GIHWEC,CNC,[1]
GIJGAJ,C1CN2CCN1CC2,[4]
GIJGEN,C1CN2CCN1CC2,[4]
GIKLIX,N=C(N)N,"[4, 8]"
GIKPAT,C1CNCCN1,[4]
GIKPEX,C1CNCCN1,[4]
GIMNEW,NCCN,[1]
GIMNUN,N=C(N)N,[]
GIQMEZ,c1cnccn1,[]
GISHOI,CNC,[]
GITMAX,NC1CCCCC1N,[1]
GITMEB,NC1CCCCC1N,[1]
GIVDOE,NCCN(CCN)CCN,[1]
GIWVIS,c1cc(-c2ccncc2)ccn1,[2]
GIWVOY,c1cc(-c2ccncc2)ccn1,[2]
GOBYAY,c1cc(-c2ccncc2)ccn1,[1]
GOBYEC,c1cc(-c2ccncc2)ccn1,[1]
GODFIP,c1ccc(-c2ccccn2)nc1,[1]
GODFOV,c1ccncc1,[1]
GOFLOD,CCN,[1]
GOKJOF,Nc1ccncc1,[]
GOMPOO,c1c[nH]cn1,[1]
GOMRAC,c1c[nH]cn1,[1]
GOMREG,c1c[nH]cn1,[1]
GOMSUW,CNC,[]
GOMTAG,CNC,[3]
GOQBAR,c1ccncc1,[10]
GOQSAG,CNC,[]
GOQZUK,N=C(N)NN,[4]
GORDOJ,CNCCN,[]
GOSQEN,CN,[2]
GOSRIP,NCCNCCN,[1]
GOVKEJ,CCN(CC)CC,[7]
GOWYAU,CNC,[3]
GOXXOI,c1ncn(CCCCCn2cncn2)n1,[6]
GOYPAN,N=CN,[7]
GOYPER,N=CN,[7]
GOYSAQ,c1cc(-c2ccncc2)ccn1,"[6, 11]"
GOYSEU,c1c[nH]cn1,"[6, 11]"
GUACRO10,N=C(N)N,[]
GUANDC01,N=C(N)N,[]
GUANTC10,N=C(N)N,[]
GUANZS,N=C(N)N,[2]
GUAVPO,N=C(N)N,[1]
GUBHIW,NCCN,[1]
GUBHOC,c1cc(-c2ccncc2)ccn1,[1]
GUBJIX,CN(C)C,[1]
GUBJOD,CN(C)C,[1]
GUBPIE,CNC,[7]
GUBPOK,CN,[7]
GUBPUQ,CNC,[7]
GUBQAX,CNC,[7]
GUCBFT,N=C(N)N,[15]
GUCKOG,C1CNCCN1,[1]
GUCKUM,C1CNCCN1,[1]
GUCPEZ,NCCN(CCN)CCN,[1]
GUGXIR,CN(C)CCCN(C)C,[0]
GUGXOX,NCc1cccnc1,[1]
GUHMOM,CN,[1]
GUHNAZ,CCNCC,[1]
GUHNED,CCNCC,[1]
GUHNIH,CNC,[1]
GUHNON,CNC,"[5, 8]"
GUJLIH,NCCN,[5]
GULCAS,NCCNCCN,[0]
GULFUO,NC1CCCCC1,[1]
GUMOSI,N=C(N)N,[5]
